1634490604.939672,0.0618,-0.9980,0.0237,-30.9084,-17.3206,-17.0305
1634490605.005284,0.1211,-0.9900,0.0752,-30.0763,-16.4504,-49.1069
1634490605.0686212,0.1560,-0.9939,0.0598,-1.6031,-45.5802,-66.8855
1634490605.1319292,0.1548,-0.9861,0.0247,13.6870,-45.5802,-48.3817
1634490605.196324,0.1980,-0.9570,0.1011,33.9542,-31.2061,-29.0458
1634490605.259469,0.1045,-0.9436,0.1045,57.3511,5.1069,-3.1374
1634490605.32337,0.1353,-1.0168,-0.0210,41.5802,29.2672,47.7939
1634490605.3875608,0.1550,-0.9790,0.1514,3.9084,46.1450,38.2214
1634490605.451013,0.0520,-0.9912,0.1548,-6.9160,60.3969,42.6183
1634490605.5144541,0.0234,-1.0100,0.1189,-27.9160,60.1756,61.6641
1634490605.579384,-0.0676,-0.9856,0.0588,-45.2595,29.8473,75.8397
1634490605.643577,-0.0811,-0.9844,0.0410,-68.0840,5.8015,60.5191
1634490605.706264,-0.0664,-0.9678,0.0100,-58.4351,-17.7634,8.6565
1634490605.7723699,-0.0093,-0.9570,-0.0183,-42.3969,-26.9847,-48.2366
1634490605.8343208,0.0046,-0.9846,-0.0325,-16.7099,-46.6565,-94.6031
1634490605.899405,0.0623,-0.9998,-0.0642,5.0305,-54.5725,-97.8626
1634490605.962566,0.1421,-1.0178,-0.0527,18.9924,-53.6412,-91.1603
1634490606.026241,0.1777,-0.9905,-0.0466,28.8473,-53.4733,-62.2290
1634490606.0913038,0.2373,-0.9766,-0.0208,36.3969,-37.6794,-44.9542
1634490606.154525,0.2883,-0.9075,0.0779,49.0458,-1.1298,-23.9771
1634490606.218154,0.1611,-0.9504,0.1033,92.1069,12.2290,13.6412
1634490606.283222,0.1709,-0.9878,0.1382,81.2824,54.0153,100.9084
1634490606.346457,0.2151,-0.9878,0.1182,16.0611,63.4122,77.8397
1634490606.4103649,0.0625,-0.9502,0.2661,-6.6947,64.5878,50.3664
1634490606.4747672,0.0012,-0.9792,0.1753,-23.1908,23.9466,46.9313
1634490606.538118,0.0432,-0.9727,0.1455,-63.7634,-29.7710,4.8779
1634490606.601996,-0.0237,-0.9766,0.1501,-72.5878,-27.9313,-33.4351
1634490606.666176,-0.0286,-1.0037,0.0886,-72.2366,-5.6183,-29.4580
1634490606.729068,0.0137,-0.9856,0.0051,-54.1756,4.0153,-5.8168
1634490606.793154,-0.0212,-0.9907,-0.0659,-41.5267,2.3817,24.4733
1634490606.857274,-0.0847,-0.9663,-0.0996,-34.2443,13.9008,61.5496
1634490606.921251,-0.2073,-0.9871,-0.0427,-0.6947,39.0916,114.3206
1634490606.985783,-0.1650,-1.0063,-0.1013,11.5496,29.1756,107.5725
